CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Label
-79218.01979649185,183138.82846467663,89646.53847494951,0.0,-31678.946714338465,-62151.189872693416,-34316.29594065523,36624.35928728338,0
-79027.2476689367,182796.10918737107,89553.33170612644,-10.639429726566656,-32182.285617726182,-62109.66033397081,-34072.68429235722,36484.03504395694,0
-78843.27047129098,182445.96913134865,89559.5901942009,-45.79872165910731,-32711.083156531047,-61995.88996147454,-33815.32632203855,35867.641023852884,0
-78686.45064153973,182099.40535422595,89632.30041458014,-42.04362881443672,-33076.735322280845,-61832.99045759383,-33549.6535032781,35184.57175401281,0
-78478.24415434862,181728.54523232847,89448.77025179686,-35.606326795001436,-33180.42505862862,-61767.70101593143,-33280.11383295737,34874.26250423566,0
-78224.77538733336,181339.9378263913,89079.0724205418,-15.042723121805379,-33034.42347254893,-61712.1792860138,-32922.44123950251,34838.87969487189,0
-78088.5191612553,180929.11278778987,88613.95499789447,-19.468368260167136,-32858.55995765686,-61724.89742785081,-32574.31284036117,34892.03214001847,0
-77902.77617590285,180524.92621689595,88058.91651266316,-21.27885945313331,-32537.90185081374,-61787.012921989735,-32225.02215057743,35071.650747755215,0
-77680.71160797546,180130.2167850862,87671.9631357171,-15.735627158619591,-32250.525489480828,-61861.1983574151,-31857.64890060716,35270.82713072462,0
-77492.64404133821,179739.39655657986,87215.607596374,-21.837653031209292,-32020.4813492585,-61880.845539620255,-31507.598251557247,35438.375797174915,0
-77310.07500350922,179365.67541156264,86788.33167483399,-4.068017248393133,-31646.313169378827,-61975.95220660879,-31176.121901042574,35606.438553717046,0
-77125.82958494601,178986.791013884,86346.63887897962,-3.1739475234715657,-31279.297547298524,-62097.657447913734,-30884.141080626316,35852.82181816231,0
-76928.39663794021,178624.17868519895,86063.35288663821,-17.568470094708804,-31145.388254248395,-62049.26592405236,-30584.381853603234,35831.14062733296,0
-76753.02486139684,178303.07354349337,86029.69116149492,-9.208918166692147,-31226.413323069413,-62027.718843681745,-30301.967579243636,35493.29403002823,0
-76601.12241513268,177998.26282252447,86091.58313820261,-1.0058284405367637,-31467.54392788076,-61905.410105312476,-30052.052739384933,35071.762506470826,0
-73767.74840162686,172805.8858398131,83712.10597229635,-24.363400004112723,-31130.591400300946,-63935.19425005878,-26762.21142782041,33193.187903951875,0
-73586.65457884398,172487.39585205293,83790.35942497011,-32.38767578528379,-31154.53011718572,-64009.06676108042,-26594.81922357197,32868.327669401624,0
-73091.25054426496,171580.00448823,84066.51521125528,-59.81326459725288,-31925.262923554354,-64307.84251140609,-26056.276324765466,31515.8013412834,0
-72936.21885396355,171274.83613937115,84089.17987878203,-63.613060928169546,-32246.099844342465,-64428.653682986114,-25915.77326749404,31124.08704305214,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-72761.539981457,170955.51913711542,84159.11848301403,-57.68984900056416,-32543.80271099822,-64495.21717400654,-25752.203211319636,30638.495423704113,0
-72622.35567702983,170663.6500754148,84289.54090413696,-60.21559597346759,-33003.26514263541,-64615.62601421035,-25590.868329457542,30110.21197499108,0
-72452.9294641572,170345.40595682897,84275.2134367951,-51.990154504189164,-33156.911024863184,-64803.31360121451,-25403.583073829595,29750.103041535796,0
-72286.67719880803,170004.31835677137,84045.83984886645,-40.16608239210143,-33104.58559421215,-64932.7301938969,-25129.50599965489,29657.656231978905,0
-72106.36568703446,169655.4747018501,83782.02222478522,-31.672420005346538,-32783.72632168092,-65347.64560148988,-24860.972157774693,29739.977701901058,0
-71903.07658333042,169299.76906179005,83429.46818050552,-49.777331935008284,-32440.291788595427,-65761.84575330291,-24588.30324341674,29960.90233092918,0
-71710.44926109607,168960.04491806298,83041.73249255016,-57.68984900056416,-32039.07799953687,-65808.11386156762,-24324.150343188663,30177.33425958957,0
-71519.38656088033,168625.95341360293,82737.05588204002,-90.56926313455482,-31784.849273255422,-65881.98637258925,-24149.694988113344,30390.7039994421,0
-71352.41903975123,168302.23311795195,82371.67193720769,-121.16879946999548,-31400.488698511643,-65934.2223962678,-23966.701267165023,30584.71712975008,0
-71260.06163716683,167996.14834762504,81986.93138283082,-121.79464827744057,-31137.296923237856,-65936.8375502132,-23716.384095930105,30847.68538759264,0
-71090.23309291799,167670.19287766176,81649.55417213167,-135.71978424309398,-31102.271741764052,-66051.45728894814,-23484.574168001065,31013.155341932496,0
-65739.00227183117,157508.33049466196,76984.00777483033,-90.9045392814004,-30671.73246572807,-73168.7216859294,-16581.104193991672,26092.441445138542,0
-65461.10304958243,157259.57794544566,77020.30700566215,-88.57995799660432,-30982.421695138317,-73331.2188584339,-16391.583764051426,25705.577475164977,0
-65179.29227228715,156999.94009732842,77029.73944126007,-117.34665139595577,-31305.15851409188,-73458.84731166645,-16184.51721575959,25284.716503901273,0
-65027.23336382111,156738.3352958164,76978.97863262765,-123.15810460794596,-31599.106287902967,-73633.25796325553,-15987.307786185012,24892.979853926885,0
-64933.42309793372,156479.34564824973,76947.19445390669,-112.7421923126097,-31861.02401381874,-73793.25174053024,-15817.412186706792,24562.285814421524,0
-64810.60026947262,156232.38123848327,76968.1603889561,-83.68492625265874,-32153.340110381843,-73920.14258623973,-15728.049917700882,24094.642644801297,0
-64653.10988742769,155961.656925777,76878.66400949145,-41.1719108326382,-32192.52271607653,-74115.22860021761,-15587.546860429458,23761.534617038644,0
-64484.26481987625,155682.05897105092,76609.79489146441,-67.97165083716219,-32257.633343793954,-74346.94912117417,-15329.965372679553,23808.205056679548,0
-58648.15763522134,146333.91179644538,71964.45446994629,-66.40702881854943,-28855.720392210507,-74388.702177328,-12312.211830151786,23389.847480645625,0
-58510.40384235405,146130.3991753101,71912.35255672649,-65.95999395608865,-28721.118195123563,-74346.36797585296,-12262.702719134255,23430.013563037726,0
-58354.34397186899,145955.6755993173,72026.18998445212,-74.85598771905826,-28816.716600460804,-74162.56959215221,-12273.945645925143,23238.45912447328,0
